Objekta nosaukums,ISIL kods,Adrese,LAT,LON,LKS-92 X,LKS-92 Y,Nozare/Objekta veids,Darbojās 2017.gadā,Bibliotēkas vadītājs/direktors,Reģistrācijas nr. LR Uzņēmumu reģistrā,Reģistrācijas datums LR Uzņēmumu reģistrā,Reģistrācijas nr. LR Kultūras ministrijas Bibliotēku reģistrā,Reģistrācijas datums LR Kultūras ministrijas Bibliotēku reģistrā,Juridiskais statuss,Akreditācijas apliecības nr.,Akreditācijas datums,Akreditācijas termiņš,Dibināšanas gads,Sākums,Darbība,Papildus informācija,Ēkas īpašuma forma,Ēkas uzcelšanas gads,Kultūras pieminekļa Valsts aizsardzības Nr.,Teritorijas kopējā platība (m2),Papildu informācija par infrastruktūru,Telpas pieejamas cilvēkiem ar kustību traucējumiem,Ir 3 fāzu elektrības pieslēgums,Telpu kopplatība (m2),Lietotāju vietu skaits bibliotēkā,Aktīvo lietotāju kopskaits 2017.gadā,Bērni un jaunieši līdz 18 gadiem,Pārējie,Fizisko apmeklējumu kopskaits,Fiziskais apmeklējums - Pieaugušie,Fiziskais apmeklējums - Bērni un jaunieši līdz 18 gadiem,Virtuālais apmeklējums,Sociālo tīklu apmeklējums,Izsniegumu kopskaits,No kopējā izsnieguma skaita - bērniem un jauniešiem līdz 18 gadiem,Elektroniski nosūtīto vienību kopskaits,Jaunieguvumu kopskaits,Izslēgto dokumentu kopskaits,Krājumu kopskaits 2017.gada beigās,Bezmaksas Wi-Fi,Integrētā bibliotēku informācijas sistēma,Cita integrētā bibliotēku informācijas sistēma,Datubāžu kopskaits,Printeru kopskaits,Skeneru kopskaits,Kopējamo iekārtu kopskaits,Multifunkcionālo iekārtu kopskaits,Pamatinformācija bibliotēkas vietnē pieejama,Vietnes automātiskās tulkošanas iespēja,Pašapkalpošanas grāmatu izsniegšanas/ nodošanas sistēma,Digitālo kolekciju skaits 2017.gada beigās,Izstāžu kopskaits 2017.gadā,Tematiskie pasākumi,Projektizstrāde,Izdevējdarbība,Zinātniskās pētniecības darbs
Jāņa Ivanova Rēzeknes mūzikas vidusskolas bibliotēka,LV-BIB-013574,"Atbrīvošanas aleja 56, Rēzekne, LV-4601",56.49753,27.32653,266415,704750,Bibliotēkas,Jā,Natālija Makarova,90000011501,13.02.1996,BLB1757,03.05.2005,Valsts iestāde,,,,1945,,,,Pašvaldības īpašums,,,,,,,73.00000000,7,366,,366.00000000,4904.00000000,4904,,,,8407.00000000,,,168.00000000,2563.00000000,32653.00000000,Jā,ALISE;LIIS,,0.00000000,1.00000000,,,,,,,,,,,,
Jaunalūksnes bibliotēka,LV-BIB-000132,"Dālderi, Kolberģis, Jaunalūksnes pag., Alūksnes nov., LV-4350",57.43892,27.11501,370531,686958,Bibliotēkas,Jā,Anita Zača,90009480589,06.01.2011,BLB1540,19.11.2004,Pašvaldības struktūrvienība,546A,06.06.2016,06.06.2021,1955,1955,"Bibliotēka par savām vērtībām uzskata: attīstītu kultūrvidi, labu iedzīvotāju bibliotekāro apkalpošanu, informācijas sniegšanu un informācijas tehnoloģiju izmantošanu.",,Pašvaldības īpašums,1960,,,,,Jā,65.00000000,10,220,52,168.00000000,2302.00000000,1970,332,604,,3562.00000000,327,52,457.00000000,447.00000000,5192.00000000,Jā,ALISE,,2.00000000,,,,2.00000000,Latviešu valoda,,,,31,28,,,
Jaunannas bibliotēka,LV-BIB-000133,"Liepzari, Jaunanna, Jaunannas pag., Alūksnes nov., LV-4340",57.28419,27.06596,353183,684792,Bibliotēkas,Jā,Velga Ločmele,90009902269,31.10.2012,BLB0541,19.01.2004,Pašvaldības struktūrvienība,547A,06.06.2016,06.06.2021,1955,"Jaunannas bibliotēka dibināta 1955.gadā, pārvietojot Mārkalnes ciema Akaviņu bibliotēku. Sākotnējais nosaukums bija Meijera ciema bibliotēka.","Jaunannas bibliotēka ir kultūras iestāde ar sabiedrisko interneta pieejas punktu- dinamiska, konkurētspējīga iestāde ar kultūrvēsturiskā mantojuma daudzveidību, kur nodrošinātas informācijas, izglītības, darba un atpūtas iespējas.","pusdienlaiks: otrd.,trešd.,ceturtd. no 12:00 līdz 12:30 ",Pašvaldības īpašums,1997,,,,,Jā,106.00000000,19,165,61,104.00000000,2577.00000000,1798,779,,378,5761.00000000,1003,82,499.00000000,427.00000000,5356.00000000,Jā,ALISE,,2.00000000,1.00000000,,,2.00000000,,,,,23,16,1,,
Jaunannas Mūzikas un mākslas  pamatskolas bibliotēka,LV-BIB-012482,"Centra iela 5, Jaunanna, Jaunannas pag., Alūksnes nov., LV-4340",57.28081,27.06835,352813,684953,Bibliotēkas,Jā,Janīna Pužule,,,BLB1214,23.04.2004,Pašvaldības struktūrvienība,,,,,1988.gads,,,Pašvaldības īpašums,1988,,1285.00000000,,,Jā,19.00000000,4,54,44,10.00000000,224.00000000,48,176,,,348.00000000,348,,67.00000000,0.00000000,2139.00000000,,,,0.00000000,,,,,,,,,,,,,
Jaunauces pagasta bibliotēka,LV-BIB-000729,"Tautas nams, Jaunauce, Jaunauces pag., Saldus nov., LV-3893",56.44633,22.69425,256523,419507,Bibliotēkas,Jā,Arita Matveja,90000017580,21.02.1996,BLB0164,12.11.2003,Pašvaldības struktūrvienība,637A,21.11.2014,21.11.2019,1922,,"Nodrošināt visiem lietotājiem brīvu neierobežotu informācijas saņemšanu. Mācību, darba kvalifikācijas un saturīga brīvā laika pavadīšanas iespēju pilnveide.",Ceturdienās no 13.30-17.30- metodiskais darbs,Pašvaldības īpašums,,,5000.00000000,,,,85.00000000,14,78,24,54.00000000,1464.00000000,1105,359,,,5763.00000000,65,,568.00000000,472.00000000,5130.00000000,Jā,ALISE,,2.00000000,1.00000000,,,1.00000000,,,,,36,2,,,
Jaundubultu vidusskolas bibliotēka,LV-BIB-012729,"Lielupes iela 21, Jūrmala, LV-2015",56.96286,23.76107,313278,485471,Bibliotēkas,Jā,Jeļena Ļebedeva,2913901349,05.12.2000,BLB0838,10.03.2004,Pašvaldības iestāde,,15.04.2016,15.04.2022,,Jaundubultu vidusskolas bibliotēka stādā no 1969.g. ( skola tika pārcelta un uzcelta no jauna. skola ir pašvaldības izglitības  iestāde. Skolai un bibliotēkai akreditācija bija 2016.g. 15 04.  uz  6  gadiem. Nakošājā  akreditācija  būs  15.04.2022.g.," Skolas bibliotēkas darbības pamatvirzieni:; 1). Izglītības programmu īstenošanai nepieciešamo mācību grāmatu un citu dokumentu komplektēšana, uzskaite, apstrāde, sistematizēšana, klasificēšana un uzglabāšana.;2). Skolotāju un skolēnu informacionālā un bibliotekāra apkalpošana.",,Pašvaldības īpašums,1969,,51832.00000000,,,Jā,81.00000000,13,340,290,50.00000000,4620.00000000,1800,2820,,,4825.00000000,3295,,2432.00000000,3065.00000000,24422.00000000,,ALISE,,1.00000000,1.00000000,,1.00000000,1.00000000,,,,,,,,,
Jaungulbenes pagasta bibliotēka,LV-BIB-000309,"Gulbītis 3, Gulbītis, Jaungulbenes pag., Gulbenes nov., LV-4420",57.07757,26.63176,329097,659518,Bibliotēkas,Jā,Dzidra Rudzīte,90010215391,22.01.2014,BLB0420,08.01.2004,Bibliotēkas struktūrvienība,444A,02.12.2015,02.12.2018,1946,1946.gads,"Bibliotēkas misija ir attīstīt bibliotēku par izglītības, informācijas, kultūras un sabiedriskās saskarsmes centru, lai nodrošinātu operatīvus un kvalitatīvus vietējās sabiedrības vajadzībām atbilstošus informācijas pakalpojumus, sniegtu atbalstu vietējās sabiedrības attīstībā, izmantojot bibliotēkas krājumu, SBA un internetā pieejamos informācijas resursus, informācijas komunikāciju tehnoloģijas.",Katra mēneša pirmā un trešā piektdiena metodiskās dienas. Bibliotēka apmeklētājiem slēgta,Pašvaldības īpašums,1900,,740.00000000,,,Jā,190.00000000,15,401,98,303.00000000,7782.00000000,4473,3309,,1291,10258.00000000,1411,58,782.00000000,1078.00000000,6458.00000000,Jā,ALISE,,2.00000000,2.00000000,,1.00000000,2.00000000,,,,,27,22,1,,
Jaunjelgavas pilsētas bērnu bibliotēka,LV-BIB-000096,"Uzvaras iela 1, Jaunjelgava, Jaunjelgavas nov., LV-5134",56.61114,25.08262,274626,566450,Bibliotēkas,Jā,vadītāja,90000020824,,BLB0652,27.01.2004,Pašvaldības iestāde,526A,07.09.2015,06.09.2019,1948,,,Bibliotēka atvērta lietotājiem no pirmdienas līdz piektdienai no 9:00 līdz 17.00,Pašvaldības īpašums,1977,,,,,Jā,85.00000000,18,228,187,41.00000000,3024.00000000,207,2817,141,,3283.00000000,2692,,159.00000000,110.00000000,4509.00000000,Jā,ALISE,,2.00000000,,,1.00000000,1.00000000,,,,,28,7,1,,
Jaunjelgavas pilsētas bibliotēka,LV-BIB-000095,"Jelgavas iela 31, Jaunjelgava, Jaunjelgavas nov., LV-5134",56.61687,25.08215,275264,566411,Bibliotēkas,Jā,Aina Strazdiņa,90000020824,26.02.1996,BLB0281,28.11.2003,Pašvaldības struktūrvienība,418A,07.09.2015,07.09.2020,1948,,"Jaunjelgavas pilsētas bibliotēka sniedz bezmaksas bibliotekāros un bibliogrāfiskos pakalpojumus, nodrošina bezmaksas un bezvadu interneta pieejamību,nodrošina maksas pakalpojumus: A4 formāta kopiju izgatavošana, printera izdrukas, skenēšanu"," Spodrības diena - mēneša pēdējā ceturtdiena;Jūnijā, jūlijā un augustā strādājam tikai darbadienās",Pašvaldības īpašums,1985,,1425.00000000,,Jā,Jā,193.00000000,20,453,88,365.00000000,9069.00000000,8682,387,375,,12529.00000000,278,7,1037.00000000,1063.00000000,19206.00000000,Jā,ALISE,,4.00000000,2.00000000,,,5.00000000,Latviešu valoda,,,,15,16,,,
Jaunjelgavas vidusskolas bibliotēka,LV-BIB-012447,"Uzvaras iela 1, Jaunjelgava, Jaunjelgavas nov., LV-5134",56.61114,25.08262,274626,566450,Bibliotēkas,Jā,Ilga Bruņeniece,0113901040,26.09.2000,BLB0950,03.11.2004,Pašvaldības iestāde,3039,27.02.2015,26.02.2021,1947,,"Jaunjelgavas vidusskolas mācību grāmatu fonda nodrošināšana, grāmatu un izdevumu piedāvājums skolēniem un skolotājiem",,Pašvaldības īpašums,1977,,3240.00000000,,Jā,,85.00000000,18,,,0.00000000,0.00000000,,,,,0.00000000,,,0.00000000,0.00000000,12123.00000000,Jā,ALISE,,0.00000000,,,,1.00000000,Latviešu valoda,,,,,,,,
Jaunlaicenes pagasta bibliotēka,LV-BIB-000134,"Riekstiņi, Jaunlaicene, Jaunlaicenes pag., Alūksnes nov., LV-4336",57.5269,26.87129,379676,671922,Bibliotēkas,Jā,Iveta Šķepaste,90010480660,27.02.2015,BLB0542,19.01.2004,Pašvaldības struktūrvienība,548A,06.06.2016,06.06.2021,1950,"Pirmā bibliotēka Jaunlaicenes teritorijā piederēja 1909.gadā dibinātajai Opekalna izglītības biedrībai ""Strauts"". Tagadējās bibliotēkas reģistri saglabājušies no 1950.gada. Par iepriekšējo laiku ziņu nav, jo bibliotēka Jaunlaicenē 40.- tajos nodegusi.","Jaunlaicenes pagasta bibliotēkas darbība ir vērsta uz nepārtrauktu plānveidīgu attīstību ar mērķi veikt iespieddarbu, elektronisko izdevumu un citu dokumentu uzkrāšanu, sistematizēšanu, kataloģizēšanu, bibliografēšanu un saglabāšanu, kā arī nodrošināt bibliotēkā esošās informācijas publisku pieejamību un tās izmantošanu.;Savu darbību bibliotēka plāno, sadarbojoties ar pagasta pārvaldi, pašvaldībā esošajām iestādēm: pamatskolu, tautas namu, muižas muzeju.",12:30 - 13:00 pārtraukums,Pašvaldības īpašums,1984,,,,,,62.00000000,11,181,51,130.00000000,1609.00000000,1029,580,336,,2111.00000000,133,136,518.00000000,655.00000000,4767.00000000,Jā,ALISE,,2.00000000,,,,1.00000000,,,,,33,13,,,
Jaunlutriņu pagasta bibliotēka,LV-BIB-000730,"Upes iela 4, Jaunlutriņi, Jaunlutriņu pag., Saldus nov., LV-3876",56.82743,22.40618,299310,402736,Bibliotēkas,Jā,Aiga Balandīna,90000051203,11.03.1996,BLB0652,,Pašvaldības struktūrvienība,328A,21.11.2014,21.11.2019,1950,"Jaunlutriņu bibliotēka dibināta 1950.gada janvārī kolhoza bibliotēku nosauca par Jaunlutriņu ciema bibliotēku, vadītāja Ā.Balandīna. No 1972. līdz 2011.gadam bibliotēkas vadītāja R.Šķirinska (Zveginceva). No 1992. gada pagasta bibliotēka atrodas Upes ielā - 4. No 2011. gada bibliotēkas vadītāja V. Jansone (Mickēviča)","Nodrošināt visiem bibliotēkas lietotājiem brīvu informācijas saņemšanu, izmantojot bibliotēkas krājumu, SBA un internetā pieejamos resursus. Pilnveidot mācību un darba kvalifikāciju un brīvā laika pavadīšanu, veidot kulturālu sabiedrību. Jaunlutriņu bibliotēka veic publiskās bibliotēkas funkcijas.","Metodiskais laiks- otrdien, trešdien, ceturtdien, piektdien 12:00- 12:30; sestdien 14:00- 15:00.;Pusdienlaiks- otrdien, trešdien, ceturtdien, piektdien 12:30- 13:00.;Mēneša pēdējā trešdiena - metodiskā diena.",Pašvaldības īpašums,1988,,137.90000000,,Jā,,120.00000000,18,273,166,107.00000000,5963.00000000,2377,3586,,,6736.00000000,3600,,581.00000000,1101.00000000,5171.00000000,,ALISE,,2.00000000,,,,2.00000000,,,,,25,12,,,
Jaunlutriņu pagasta Ošenieku bibliotēka,LV-BIB-000731,"Ošenieku iela 3-9, Ošenieki, Jaunlutriņu pag., Saldus nov., LV-3876",56.80972,22.28404,297519,395234,Bibliotēkas,Jā,Aiga Balandīna,90000051203,11.03.1996,BLB1653,22.09.2004,Pašvaldības struktūrvienība,329A,21.11.2014,21.11.2019,1955,"Dibināta 1955. g. augustā kā kolhoza bibliotēka. Pirmais bibliotēkas vadītājs ir Kārlis Grasbergs. Viņš aktīvi iesaistās sabiedriskajā dzīvē - vada kori, sieviešu ansambli, dramatisko kolektīvu un nelielu mūziķu ansambli. 1962. gadā bibliotēkai vienai no pirmajām tiek piešķirts ""Teicama darba bibliotēka"" nosaukums. Bibliotēkas pastāvēšanas laikā vairākkārt mainījušies vadītāji, kā arī atrašanās vieta. ","Bibliotēka nodrošina visiem lietotājiem brīvu, neierobežotu dažāda veida informācijas saņemšanu kultūras, izglītības, sociālās un citās jomās. Nodrošina krājumu atbilstošu lietotāju vajadzībām un pieprasījumam izglītības attīstībā un mūžizglītībā, kā arī pieeju uzkrātā kultūras mantojuma izmantošanā.",,Pašvaldības īpašums,1975,,4000.00000000,,,Jā,104.00000000,23,174,49,125.00000000,4082.00000000,3033,1049,,3536,8202.00000000,381,,694.00000000,394.00000000,6102.00000000,Jā,ALISE,,2.00000000,1.00000000,,,3.00000000,,,,,41,28,,,
Jaunlutriņu pamatskolas bibliotēka,LV-BIB-013163,"Muižas iela 1, Jaunlutriņi, Jaunlutriņu pag., Saldus nov., LV-3876",56.82934,22.4018,299529,402474,Bibliotēkas,Jā,Ilze Lāce,,,BLB1139,26.03.2004,Pašvaldības iestāde,3211,31.05.2012,30.05.2018,,,,,,,,,,,,90.30000000,10,77,57,20.00000000,63.00000000,15,48,,,565.00000000,334,,262.00000000,281.00000000,7103.00000000,,,,0.00000000,1.00000000,1.00000000,,,,,,,10,9,,,
Jaunmārupes pamatskolas bibliotēka,LV-BIB-013134,"Mazcenu aleja 4A, Jaunmārupe, Mārupes nov., LV-2166",56.87957,23.94897,303982,496890,Bibliotēkas,Jā,Zinaida Spāde,44312903031,25.06.2014,BLB1951,11.09.2014,Pašvaldības iestāde,3359,19.12.2016,18.12.2022,2005,"Skola 2005.gadā dibināta kā sākumskola, 2014.gada 25.jūnijā reorganizēta par pamatskolu.",,Pusdienlaiks no 12.30 līdz13.00,Pašvaldības īpašums,2005,,35000.00000000,,Jā,Jā,65.55000000,26,790,690,100.00000000,20355.00000000,6030,14325,,,16513.00000000,13459,,2062.00000000,0.00000000,26466.00000000,Jā,ALISE,,0.00000000,3.00000000,2.00000000,2.00000000,,,,,,27,6,,,
Jaunmuižas pamatskolas bibliotēka,LV-BIB-012776,"Jaunmuiža, Skrundas pag., Skrundas nov.",56.61533,22.07061,276233,381596,Bibliotēkas,Jā,,,,BLB0854,10.03.2004,Pašvaldības iestāde,,,,,,,,Pašvaldības īpašums,1987,,,,,,20.00000000,2,27,17,10.00000000,109.00000000,25,84,7,,153.00000000,153,,33.00000000,10.00000000,4469.00000000,Jā,,,0.00000000,,,,1.00000000,,,,,,,,,
Jaunogres vidusskolas bibliotēka,LV-BIB-012909,"Mālkalnes prospekts 43, Ogre, Ogres nov., LV-5001",56.82457,24.59407,298016,536258,Bibliotēkas,Jā,Jeļena Ballode,4313901327,27.11.2000,BLB1667,11.10.2004,Pašvaldības iestāde,2078,27.05.2010,,1972,1972.,izglītības  iestāde,,Pašvaldības īpašums,1972,,,,Jā,,115.00000000,14,653,577,76.00000000,5836.00000000,727,5109,,,7413.00000000,6927,,1604.00000000,1620.00000000,36366.00000000,,ALISE,,1.00000000,,,,,,,,,19,10,,,
Jaunpiebalgas novada Jaunpiebalgas pagasta bibliotēka,LV-BIB-000221,"Gaujas iela 4, Jaunpiebalga, Jaunpiebalgas pag., Jaunpiebalgas nov., LV-4125",57.1807,26.05402,339372,624161,Bibliotēkas,Jā,Baiba Logina,9000057776,14.03.1996,BLB0751,18.12.2004,Pašvaldības iestāde,265A,12.09.2014,11.09.2019,1926,"1910.gadā bibliotēku nodibināja Dziedāšanas biedrība Abrupē, uz kuras bāzes pēc 2.pasaules kara tika atvērta bijusī Gaujas bibliotēka. 1926.gadā savu bibliotēku tagadējā kultūras nama ēkā nodibināja arī Kultūras biedrība. Pēc kara tajā tika izveidotas 2 bibliotēkas- ciemata un bērnu. No 2000.-2003.g. notika visu 3 bibliotēku apvienošana.","Jaunpiebalgas pagasta bibliotēka ir moderna informācijas, kultūras un izglītības iestāde, kas apkalpo un sniedz informāciju, apkalpo un apmāca lasītājus, nodrošina IT pakalpojumus, popularizē literatūru.",Vasarās no 1.jūnija līdz 31.augustam sestdienās slēgts,Pašvaldības īpašums,1987,,27000.00000000,,Jā,Jā,141.00000000,20,711,325,386.00000000,5084.00000000,3864,1220,1258,17122,10506.00000000,1677,125,932.00000000,1395.00000000,13388.00000000,Jā,ALISE,,0.00000000,5.00000000,1.00000000,1.00000000,1.00000000,,,,,42,118,,,
Jaunpiebalgas novada Zosēnu pagasta bibliotēka,LV-BIB-000244,"Zosēni, Zosēnu pag., Jaunpiebalgas nov.",57.16527,25.84497,337293,611573,Bibliotēkas,Jā,Irene Prīse,90000035181,01.03.1996,BLB0775,18.02.2004,Pašvaldības iestāde,275A,12.09.2014,12.09.2019,1949,1949.gada 27. jūnijs,"galvenie bibliotēkas darbības virzieni:;regulāri papildināt bibliotēkas fondu, preses izdevumus;apmainīt grāmatas un preses izdevumus;interneta izmantošana;izstāžu un pasākumu organizēšana;novadpētniecības materiālu vākšana un to noformēšana",,Pašvaldības īpašums,1971,,,,,Jā,56.00000000,7,145,41,104.00000000,2579.00000000,2344,235,,,2459.00000000,185,,589.00000000,683.00000000,5173.00000000,Jā,ALISE,,2.00000000,1.00000000,,,1.00000000,,,,,17,5,,,
Jaunpiebalgas vidusskolas bibliotēka,LV-BIB-012560,"Gaujas iela 41, Jaunpiebalga, Jaunpiebalgas pag., Jaunpiebalgas nov., LV-4125",57.16736,26.01889,337824,622082,Bibliotēkas,Jā,Vēsma Johansone,4413900339,03.11.2009,BLB1062,19.03.2004,Pašvaldības iestāde,2683,30.05.2013,02.06.2019,1946,,,,Pašvaldības īpašums,1946,,,,,,75.00000000,,452,400,52.00000000,0.00000000,,,,,5947.00000000,5262,,466.00000000,1393.00000000,11412.00000000,,ALISE,,0.00000000,1.00000000,1.00000000,,,,,,,7,15,,,
Jaunpils pagasta bibliotēka,LV-BIB-000797,"Jaunpils pils, Jaunpils, Jaunpils pag., Jaunpils nov., LV-3145",56.7306,23.02159,287826,440136,Bibliotēkas,Jā,Inga Papendika,90001569230,09.07.2003,BLB1283,07.05.2004,Pašvaldības struktūrvienība,725A,19.12.2017,19.12.2022,1890,"Pirmās ziņas par Jaunpils bibliotēku ir no 1890.gada, kad tika dibināta Jaunpils Sadraudzīgā biedrība, kuras mērķis bija rosināt latvisko izglītību un kultūras dzīvi. Sākotnēji Jaunpils Sadraudzīgās biedrības bibliotēka atradusies magazīnas klētī. Tā bija bezmaksas bibliotēka ar vairāk kā 2000 sējumiem. Bibliotekāra darbs netika algots, tādēļ bibliotēka darbojās vairāk kā lasāmgalds.","Jaunpils pagasta bibliotēka ir pašvaldības struktūrvienība, kas iekļauta pašvaldības aģentūras “Jaunpils” sastāvā.;Bibliotēka piedāvā brīvpieejas grāmatu krājumu, alfabētisko kartīšu un elektronisko katalogus, datoru izmantošanu, pastāvīgo un bezvadu internetu,  novadpētniecības materiālus, 29 nosaukumu preses izdevumus, SBA, dokumentu drukāšanu, kopēšanu, skenēšanu, iesiešanu un laminēšanu, pasākumus un izstādes dažādām mērķauditorijām.;Bibliotēka organizē grāmatu un literatūru popularizējošus pasākumus bērniem un pieaugušajiem, dodot iespēju tikties ar rakstniekiem un dzejniekiem klātienē; sadarbojas ar Jaunpils novada domes Jaunatnes lietu darbiniekiem, kopā organizējot dažādus starppaaudžu sadarbības un pieredzes apmaiņas veicināšanas pasākumus.;2017.gadā bibliotēka akreditēta otro reizi.;",,Pašvaldības īpašums,1301,6810,,,,Jā,134.98000000,20,278,118,160.00000000,7454.00000000,5649,1805,2009,37219,10205.00000000,1442,9,974.00000000,1424.00000000,9503.00000000,Jā,ALISE,,2.00000000,,,,2.00000000,,,,,4,30,1,,
Jaunpils vidusskolas bibliotēka,LV-BIB-013216,"Jaunpils vidusskola, Jaunpils, Jaunpils pag., Jaunpils nov., LV-3145",56.73152,23.00723,287942,439259,Bibliotēkas,Jā,Jānis Liepiņš,90001501168,14.03.2003,BLB0922,08.02.2010,Pašvaldības iestāde,2611,19.03.2013,20.03.2019,1953,"Jaunpils vidusskolas bibliotēka dibināta 1953. gadā (pirmais ieraksts inventāra grāmatā). Bibliotēkas krājumā uz 2016. gadu kopā ar darba burtnīcām 10048, no tām 5340 mācību grāmatas.","2017,g. Jaunpils vsk. bibliotēkā bija 321 lasītājs - skolnieks, 36 - pedagogi un 6tehniskie darbinieki. Ir nodrošināts interneta pieslēgums, 7 lasītāju vietas. Veikta bibliotēkas pārkārtošana, norakstītas vecās, nolietotās grāmatas. Pilnībā nodrošināts sekmīgs mācību darbs - ir visas nepieciešamās mācību grāmatas, darba burtnīcas, skolotājiem sagādāti visi prasītie metodiskie materiāli. Iegādātas spēles gan pagarinātajai grupai, gan visām klasēm. Daudz izziņas materiālu. ","Pārējās nedēļas dienās - pēc stundām, ja nepieciešams",Pašvaldības īpašums,1938,,,,,Jā,82.00000000,7,312,264,48.00000000,926.00000000,40,886,,,3633.00000000,3633,,0.00000000,0.00000000,10077.00000000,Jā,,,0.00000000,1.00000000,,1.00000000,,Latviešu valoda,Google,,,,,,,
Jaunsātu pagasta bibliotēka,LV-BIB-000798,"Abavnieki, Abavnieki, Jaunsātu pag., Tukuma nov., LV-3128",56.97376,22.92922,314976,434908,Bibliotēkas,Jā,Aija Tišlere,90000032522,01.03.1996,BLB1284,05.07.2004,Pašvaldības struktūrvienība,823A,19.12.2017,19.12.2022,1948,"Bibliotēka dibināta 1948. gadā. Tā bija izvietota Latvijas Pirmās Zemkopības skolas kursantu kopmītnēs.Grāmatu fondu veidoja no kolhoza Avots, Abavas skolas un bijušo lielsaimnieku bibliotēkām. 1975. gadā bibliotēka pārceļas uz ciema izpildkomitejas telpām Abavniekos.","Bibliotēka ir Jaunsātu pagasta kultūras, izglītības,informācijas iegūšanas un pašizglītošanās  iestāde, kas sniedz bibliotekāros, bibliogrāfiskos un informatīvos pakalpojumus un nodrošina Latvijas un citu tautu kultūras mantojuma uzkrāšanu, sistematizēšanu un saglabāšanu kā arī šīs informācijas publisku pieejamību un izmantošanu",Katru darba dienu izņemot piektdienu no 12:00 līdz 13:00 pusdienas laiks,Pašvaldības īpašums,1974,,,,,Jā,66.00000000,9,135,27,108.00000000,4993.00000000,4604,389,,,11782.00000000,469,,475.00000000,0.00000000,10876.00000000,,,,2.00000000,1.00000000,1.00000000,1.00000000,,,,,,18,4,,,
Jaunsātu pamatskolas bibliotēka,LV-BIB-013217,"Jaunsātu skola, Abavnieki, Jaunsātu pag., Tukuma nov., LV-3128",56.97224,22.93387,314802,435188,Bibliotēkas,Jā,Linda Dudko,,,BLB0923,08.02.2010,Pašvaldības iestāde,,,,,"Jaunsātu pamatskola dibināta 1994.gadā.Bibliotēka nodrošina Jaunsātu skolas skolotājus un skolēnus ar mācību grāmatām, metodiskajiem materiāliem un daiļliteratūru.2009.gadā skolu reorganizēja un tā tika pievienota Pūres pamatskolai.Skolā ir 1 - 4 klases un pirmsskola."," ;Bibliotēka iepērk mācību grāmatas, metodiskos un uzskates materiālus skolotājiem un skolēniem.Izsniedz daiļļiteratūru.;",,Pašvaldības īpašums,1999,,,,,,48.00000000,10,,,0.00000000,0.00000000,,,,,0.00000000,,,48.00000000,630.00000000,1726.00000000,,,,0.00000000,,,,,,,,,,,,,
Jaunsilavas pamatskolas bibliotēka,LV-BIB-012951,"Jaunsilavas iela 1, Jaunsilavas, Turku pag., Līvānu nov., LV-5316",56.39021,26.15929,251604,633298,Bibliotēkas,Jā,"Dace Zvirbule, Liene Kapača,Zaiga Ližbovska",1812900366,24.03.2004,BLB1039,10.03.2004,Pašvaldības iestāde,2938,13.06.2014,12.06.2020,1989,,,,Pašvaldības īpašums,1989,,3180.00000000,,,Jā,34.00000000,10,182,148,34.00000000,5338.00000000,1218,4120,,,4590.00000000,3733,,128.00000000,0.00000000,5215.00000000,,ALISE,,0.00000000,1.00000000,,,,,,,,4,5,,,
Jaunstrūžānu pamatskolas bibliotēka,LV-BIB-012980,"Miera iela 12, Strūžāni, Stružānu pag., Rēzeknes nov., LV-4643",56.69519,27.23659,288138,698179,Bibliotēkas,Jā,Anna Esta,90000025380,04.02.2005,BLB0790,09.03.2004,Pašvaldības iestāde,,,,1962,,Skolēnu apgāde ar mācību grāmatām,,Pašvaldības īpašums,1962,,260.00000000,,,,50.00000000,5,68,56,12.00000000,136.00000000,24,112,,,1338.00000000,1270,,92.00000000,84.00000000,1338.00000000,Jā,,,0.00000000,,,,,,,,,,,,,
Jaunsvirlaukas pagasta Staļģenes bibliotēka,LV-BIB-000328,"Skolas iela 2, Staļģene, Jaunsvirlaukas pag., Jelgavas nov., LV-3031",56.57157,23.96104,269698,497606,Bibliotēkas,Jā,Liena Blūma,90009118031,07.07.2009,BLB1368,18.05.2004,Pašvaldības iestāde,122A,18.09.2012,18.09.2017,,"Dibināšanas laiks nav atrodams arhīvā, apm. ap 1945 gadu. Izveidojusi Staļģenes padome.","Staļģenes bibliotēka nodrošina pagasta iedzīvotājiem brīvu pieeju dažādiem informācijas resursiem, sniedz atbalstu visa veida izglītībai un piedāvā saturīgu brīvā laika pavadīšanas iespēju.",Pusdienas pārtraukums 12.00- 13.00;;Trešdiena- metodiskā diena.,Pašvaldības īpašums,1972,,,,Jā,Jā,107.00000000,15,510,228,282.00000000,4736.00000000,2948,1788,,2280,7483.00000000,816,,1044.00000000,684.00000000,9103.00000000,Jā,ALISE,,2.00000000,2.00000000,1.00000000,,1.00000000,,,,,27,20,,,
